n   error 
3   0.00000000000000000000000000000000000      
4   5.55555555555555555555555555555555469E-0002
5   6.25000000000000138777878078144567553E-0002
6   6.00000000000000000000000000000000282E-0002
7   5.55555555555556249444945946278393113E-0002
8   5.10204081632653061224489795918367107E-0002
9   4.68750000000000277555756156289135106E-0002
10   4.32098765432097871085773372944885452E-0002
11   3.99999999999999916733273153113259728E-0002
12   3.71900826446281445917683627646683994E-0002
13   3.47222222222222661685502803013352619E-0002
14   3.25443786982250527651680609380610284E-0002
15   3.06122448979592144028566764871134016E-0002
16   2.88888888888888759362869349287292517E-0002
17   2.73437500000000650521303491302660404E-0002
18   2.59515570934254602277304275206015986E-0002
19   2.46913580246914312685714548232130998E-0002
20   2.35457063711910524673451752739242912E-0002
21   2.24999999999996943417235328865899898E-0002
22   2.15419501133792990645784912342145678E-0002
23   2.06611570247942986864705514002978511E-0002
24   1.98487712665407977913114026299695548E-0002
25   1.90972222222223913577611299609139077E-0002
26   1.83999999999999719668686282147973574E-0002
27   1.77514792899409007269917853998981754E-0002
28   1.71467764060361196639772248497309149E-0002
29   1.65816326530612879311116112334349355E-0002
30   1.60523186682523009865509586740227225E-0002
31   1.55555555555558833026442834403092565E-0002
32   1.50884495317388341322270969075315282E-0002
33   1.46484374999991098700163894008596799E-0002
34   1.42332415059686487494928592433282628E-0002
35   1.38408304498268451271158695027668721E-0002
36   1.34693877551018025148844592840017425E-0002
37   1.31172839506169442339365718258946064E-0002
38   1.27830533235939303352032716817457033E-0002
39   1.24653739612194439009160159465236828E-0002
40   1.21630506245882477668277888076630347E-0002
41   1.18749999999993782751062099123373891E-0002
42   1.16002379535984015145402260497889095E-0002
43   1.13378684807244460359497708909574629E-0002
44   1.10870740941048855131206795562907636E-0002
45   1.08471074380166193677937867742773266E-0002
46   1.06172839506187462068593006672107515E-0002
47   1.03969754253298948840325130141014264E-0002
48   1.01856043458591706294396681184635364E-0002
49   9.98263888888805586021969585964873860E-0003
50   9.78758850479011704217995338638069849E-0003
51   9.59999999999996176669458947117164680E-0003
52   9.41945405613260628604329160765875807E-0003
53   9.24556213017796882340917836757282581E-0003
54   9.07796368814642676912893520989709853E-0003
55   8.91632373113800227817359351848547847E-0003
