n   error 
56   8.76149337707964841984520273760328906E-0003
57   8.60932790104071704708800023915813738E-0003
58   8.46438855162104227683037088334872316E-0003
59   8.32296442129736706419592096462543739E-0003
60   8.18725353381357053270698860779947508E-0003
61   8.05601705693536334567599826388888563E-0003
62   7.92776406996674961827192790916422479E-0003
63   7.80371359465149513268445954734650199E-0003
64   7.68522635847517812723595659328543771E-0003
65   7.56842497503384947776794433593750000E-0003
66   7.45541050765641342253374630177517189E-0003
67   7.34570050223827143127049077421947832E-0003
68   7.23973951659520714977159880402095792E-0003
69   7.13734227477550300347351285413063084E-0003
70   7.03792709006691800273533905035704346E-0003
71   6.93801251753252379748286033163263862E-0003
72   6.84487074244072030068768132562984831E-0003
73   6.75138824814815580109019338348763118E-0003
74   6.65962908991613717346706809145712020E-0003
75   6.57388660240404095590506442887145870E-0003
76   6.48754768504036797417534722222224795E-0003
77   6.40657930273738098937058382747576456E-0003
78   6.32393020249967290370334439302583516E-0003
79   6.24445239773888402985241129396777020E-0003
80   6.16968530809969077639770018827110891E-0003
81   6.09225578606128692626953125000002471E-0003
82   6.02030280493160079772325936404509702E-0003
83   5.94662417807815189804086225646937850E-0003
84   5.87818679049781971528751961913922875E-0003
85   5.80956037642007647187801715738376192E-0003
86   5.74627287737432235664974859429068776E-0003
87   5.68019802263535442321348216096535476E-0003
88   5.61580613163463630580511507671089489E-0003
89   5.55138249038757125208200502001550773E-0003
90   5.49193928042903360040060514573603430E-0003
91   5.43105096544748471107011959876544926E-0003
92   5.37231164663767356858738895891200119E-0003
93   5.31890746628573350960455679938566231E-0003
94   5.26408169167464090118602267964507982E-0003
95   5.20911454756425051950339873811678285E-0003
96   5.15483252590630523385763828774241473E-0003
97   5.10027204614339603318108452690970024E-0003
98   5.04661945433916403492422688715587917E-0003
99   4.99584081806537261956535444215950204E-0003
100   4.94675667514233379482724279569690258E-0003
101   4.89896221794188022613525390625000829E-0003
102   4.85235986393575001763264439454465562E-0003
103   4.80402417492403611913180177095345558E-0003
104   4.75978804387918391925740931932796375E-0003
105   4.71677371788461356473392283422709554E-0003
106   4.67296978361617410534363484977328195E-0003
107   4.62833689306900780495480313000622088E-0003
108   4.58731522907444624643011773681111082E-0003
109   4.54111720706158622956243235060871267E-0003
110   4.50124475026675501151494672428669239E-0003
111   4.46283563879156900831490508780989850E-0003
112   4.42473818786504564516711337604492650E-0003
113   4.38405342556878316159151038345023074E-0003
114   4.34569862798616034523958476094446306E-0003
115   4.30906122084850346209196429430209551E-0003
116   4.27143734575219325622673972117203384E-0003
117   4.23674684407701106757528007951842252E-0003
118   4.19821542785615567111126021006834715E-0003
119   4.16665474534531291686608441360240674E-0003
120   4.13088235551902158694216427379779959E-0003
121   4.09800655105047755771213107638888419E-0003
122   4.06428393890988215275877738990674650E-0003
123   4.02748063747295286347231087073369641E-0003
124   3.99901990237211754021211848932518144E-0003
125   3.96928176720908665632234031526403513E-0003
126   3.93307867950201034545898437499997172E-0003
127   3.90323673162124084266975923760705563E-0003
128   3.87361961005141135076276500209250419E-0003
129   3.84335784474387764930725097656250000E-0003
130   3.81612943376358344387129861627531537E-0003
131   3.79025472620138402521257569803996488E-0003
132   3.76343932590523832265705948671768059E-0003
133   3.72900623843994049767598414005109082E-0003
134   3.70332355844212316982862981584601500E-0003
135   3.67407995466193514960092063150898514E-0003
136   3.65193763443758131218218182013029714E-0003
137   3.62291719154599783329815188081207441E-0003
138   3.59871832570915052204700148641045977E-0003
139   3.56835570027732881671414358278851884E-0003
140   3.54820874925849539023934853915429420E-0003
141   3.51784602501334584489160654496172064E-0003
142   3.49631969466161622373182692882025266E-0003
143   3.47418904303950145825864870948845748E-0003
144   3.45163117922324033417534528545100003E-0003
145   3.42254526302344913100018913363230666E-0003
146   3.40148487656546687966436324873663521E-0003
147   3.37766639036831611494428334349783993E-0003
148   3.35169592333957639107507107860153169E-0003
149   3.33266758873250534100807697081585153E-0003
150   3.31151508590892211665259219038555817E-0003
151   3.29053143457406096988254123263891600E-0003
152   3.26777862639874148005995017008574151E-0003
153   3.24908776951752541137864384954986496E-0003
154   3.22704187650172238551779484686712298E-0003
155   3.20222923624962141027658056862985657E-0003
156   3.18671426701899249645475294289802183E-0003
157   3.16577489565283961393267288559128988E-0003
158   3.14027491637755225718328496148421379E-0003
159   3.13006172976919930822821386233676218E-0003
160   3.10851924816823369702896378301638568E-0003
161   3.08524809719529002904891967773439874E-0003
162   3.06237066490994247176627778725503777E-0003
163   3.04849501900066009946502466932916248E-0003
164   3.03179676059785342924505771675869360E-0003
165   3.01154412576847846560503740100760046E-0003
166   2.99157593847415773446019140266299232E-0003
167   2.97461198339348807357741571992036473E-0003
168   2.95978329350492018070759182187643535E-0003
169   2.94078571699209122701026414797687452E-0003
170   2.92699910283066771376938935250426926E-0003
171   2.90697543292103341706483834342563633E-0003
172   2.89524272000789438494701260911477314E-0003
173   2.87309666368213777867054668486340792E-0003
174   2.85594059467311192874844080861164439E-0003
175   2.83588030384645537319578981443632025E-0003
176   2.82541665080554631291603555484693874E-0003
177   2.80693418770635977756878561224820438E-0003
178   2.78884217170051049119213347407752526E-0003
179   2.77811122745211535881089676571772813E-0003
180   2.76489117658349693887432633310643483E-0003
181   2.74589225310648297086174105420526348E-0003
182   2.72850058473359406465634201942669854E-0003
183   2.71287188521551381935605160957692690E-0003
184   2.69774902692786196118317520655103102E-0003
185   2.68454883940384101777536431873230710E-0003
186   2.67576361145794261015619649949779889E-0003
187   2.65922746368024766562315532548925303E-0003
188   2.64834994655550455166854537679802095E-0003
189   2.62355051617251499144941392987493115E-0003
190   2.62178726182906759342231941644973069E-0003
191   2.60619641351320076517120953081720571E-0003
192   2.58468853396344843645608986206006837E-0003
193   2.58422229025099012586805555555553445E-0003
194   2.56641394598700814018115353663020863E-0003
195   2.55173276404119004148113726302605584E-0003
196   2.53997047824257302644768488556048770E-0003
197   2.52932780939132992995872640550159961E-0003
