n   error 
3   0.00000000000000000000000000000000000      
4   5.55555555555555555555555555555555469E-0002
5   6.25000000000000000000000000000000120E-0002
6   6.00000000000000000000000000000000282E-0002
7   5.55555555555555555555555555555555950E-0002
8   5.10204081632653061224489795918367107E-0002
9   4.68750000000000000000000000000000241E-0002
10   4.32098765432098765432098765432097735E-0002
11   4.00000000000000000000000000000000188E-0002
12   3.71900826446280991735537190082645124E-0002
13   3.47222222222222222222222222222222416E-0002
14   3.25443786982248520710059171597635105E-0002
15   3.06122448979591836734693877551020385E-0002
16   2.88888888888888888888888888888888757E-0002
17   2.73437500000000000000000000000000572E-0002
18   2.59515570934256055363321799307957332E-0002
19   2.46913580246913580246913580246913903E-0002
20   2.35457063711911357340720221606646935E-0002
21   2.24999999999999999999999999999997826E-0002
22   2.15419501133786848072562358276647785E-0002
23   2.06611570247933884297520661157035708E-0002
24   1.98487712665406427221172022684311072E-0002
25   1.90972222222222222222222222222223921E-0002
26   1.84000000000000000000000000000001022E-0002
27   1.77514792899408284023668639053255266E-0002
28   1.71467764060356652949245541838138172E-0002
29   1.65816326530612244897959183673470326E-0002
30   1.60523186682520808561236623067772238E-0002
31   1.55555555555555555555555555555562789E-0002
32   1.50884495317377731529656607700308994E-0002
33   1.46484375000000000000000000000000060E-0002
34   1.42332415059687786960514233241504485E-0002
35   1.38408304498269896193771626297577968E-0002
36   1.34693877551020408163265306122446256E-0002
37   1.31172839506172839506172839506170961E-0002
38   1.27830533235938641344046749452155743E-0002
39   1.24653739612188365650969529085879731E-0002
40   1.21630506245890861275476660092040671E-0002
41   1.18749999999999999999999999999993260E-0002
42   1.16002379535990481856038072575845920E-0002
43   1.13378684807256235827664399092965501E-0002
44   1.10870740941049215792320173066526292E-0002
45   1.08471074380165289256198347107441529E-0002
46   1.06172839506172839506172839506192398E-0002
47   1.03969754253308128544423440453693358E-0002
48   1.01856043458578542326844726120424953E-0002
49   9.98263888888888888888888888888834354E-0003
50   9.78758850478967097042898792170075002E-0003
51   9.59999999999999999999999999999926429E-0003
52   9.41945405613225682429834678969655576E-0003
53   9.24556213017751479289940828402413344E-0003
54   9.07796368814524741901032395870353708E-0003
55   8.91632373113854595336076817558228500E-0003
